singer,song_name
大事MANブラザーズ 立川俊之, Under The Christmas Tree -2021Remix-
Adele, Strangers By Nature
Adele, Easy On Me
Adele, My Little Love
Adele, Cry Your Heart Out
Adele, Oh My God
Adele, I Drink Wine
Adele, Can I Get It
Adele, All Night Parking(With Erroll Garner) Interlude
Adele, Woman Like Me
Adele, To Be Loved
Adele, Hold On
Adele, Love Is A Game
QQ Brothers, 偏執
陶冶abouT-y, Don't  Slow Down
陳翰, 最終成為不想成為的人
陳翰, 世代迷航
陳翰, 你不懂
あわや一門, 一元生
∥ネコプラ∥, 冒険少女
粗品, 大好きな太鼓の音 feat. どんちゃん
OBP, ギャク結論
NIO, On The Horizon
NIO, I Know We'll Get By
ウソツキ, 響
ウソツキ, ギャラクシーロマンス
ウソツキ, ERAI
Steve Aoki, Equal In The Darkness(Steve Aoki Character X Version)
chelmico, 三億円
Fishdoll, K'un(坤)
Fishdoll, Keep It Going(延續)
Fishdoll, Remember It's Just a Dream(夢而已)
Fishdoll, We Are All The Same(眾平)
Fishdoll, Plastic Ocean(塑洋)
Fishdoll, Outro(尾語)
柏重生, 陪著你
婷婷姐姐, 白馬西風塞上(名聯集唱)
鈴木鈴木, ホワイトキス
茅原実里, Re:Contact
88rising, Split
茅原実里, Sing
K, Touchdown feat.VILLSHANA
ビリケンブラザーズ, キャプテン
林家たい平, 夜明けの散歩
林家たい平, ゴルフは楽し
ビリケンブラザーズ, Good morning Blues
ビリケンブラザーズ, ガタゴトシーソー
神納姆, 大皮坡
神納姆, 趕場
上田桃夏, 線香花火
上田桃夏, おたまじゃくし
ほんわかかな, 人と旅と笑顔、想い出アルバム
シンデレラ宣言！, はにかみサンセット
BADNIGHT, Butterfly
BADNIGHT, Siren
葵乃まみ, 絶景未来
YABI×YABI, Tong Ching Kahn
Vivid BAD SQUAD, シネマ
Vivid BAD SQUAD, RAD DOGS
Hainuwell, GEAR
Mr.FanTastiC, グッドラック
Blue Vintage, アルゴリズム feat. SALU
Mr.FanTastiC, スーパームーン
つばきファクトリー, ガラクタDIAMOND
キタコレ, 未来の行方
THRIVE, Feeling Good
odol, 幸せ？
Thinking Dogs, 24:55
odol, 泳ぎだしたら
GARNiDELiA, Uncertainty
GARNiDELiA, Aquarium
GARNiDELiA, ミルクキャラメル
GARNiDELiA, はじめてのクリスマス
カーネーション, SUPER RIDE
カーネーション, その果てを心が
カーネーション, BABY BABY BABY
カーネーション, 霧のスーヴェニール
カーネーション, Highland Lowland
カーネーション, Rock On
カーネーション, I Know
カーネーション, マーキュロクロムと卵の泡
カーネーション, 海の叙景
カーネーション, Blue Black
SHISHAMO, ミルクコーヒー
Nothing's Carved In Stone," Deeper,Deeper"
大江裕, あなた
大江裕, 涙そうそう
大江裕, ダンシング・オールナイト
中田裕二, Little Changes
中田裕二, 口ほどにもない
中田裕二, 魔性
中田裕二, こまりもの
LiSA, 明け星
中田裕二, PALE STRANGER
LiSA, 白銀
Stone Flower Blooms, JUST FOR A WHILE
高橋玄, そこなし
ermhoi, Dream Land Song
Cwondo, Lulala
Cwondo, Bowyer
Cwondo, Circle
Cwondo, Nall
Cwondo, 108
Cwondo, Skydriving
Cwondo, Redngreen
Cwondo, Sayounarabyebye
Cwondo, Droro
Cwondo, Somewhere
Cwondo, Frnmy
Argonavis, きっと僕らは
宮下遊, bystander
Kitri, シンパシー
宮下遊, ファントムレイド
PEDRO, 吸って、吐いて
PEDRO, ぶきっちょ
PEDRO, 魔法
PEDRO, 死ぬ時も笑ってたいのよ
PEDRO, 安眠
PEDRO, いっそ僕の知らない世界の道端でのたれ死んでください
PEDRO, 万々歳
mabanua, Coffee Excess feat. Orono (Superorganism) & Lennon
古川慎, 灰硝子
古川慎, Craving
古川慎, Forsaken kiss
古川慎, 夕凪を連れて
三丘翔太, よこはま埠頭
逆流, 序樂
DISH//, 揺れてゆく
DISH//, Shout it out
DISH//, B-BOY
AKIHIDE, 綿毛のシェルター
KANA, OSAKA～夕暮れて～
安藤裕子, UtU
安藤裕子, ReadyReady
安藤裕子, All the little things
安藤裕子, Toiki
安藤裕子, 少女小咄
安藤裕子, 僕を打つ雨
安藤裕子, teatime
安藤裕子, Goodbye Halo
CHIHIRO, 恋人ごっこ
安藤裕子, 衝撃(album ver.)
関ジャニ∞, フリーシーズン
関ジャニ∞, ヒカリ
関ジャニ∞, みかん
関ジャニ∞, 凛
関ジャニ∞, 8beat
関ジャニ∞, 町中華
関ジャニ∞, ひとりにしないよ
関ジャニ∞, 関ジャニ∞ on the STAGE
関ジャニ∞, Re:LIVE
関ジャニ∞, ココロに花
スターダスト☆レビュー, やっぱり会いたいよ
関ジャニ∞, サタデーソング
ストレイテナー, 群像劇
ストレイテナー, 七夕の街
Angelo, COUNTDOWN
Angelo, VOICE
Angelo, PIERCE THE SKY
Angelo, PURELAND
Angelo, スーサイドゲーム
Angelo, ガイア
Angelo, 砂の城
Angelo, SIGHT
Angelo, LINKAGE
谷山浩子, よく見えない子供
Angelo, CONNECTED NEW CIRCLES
谷山浩子, 鯨のため息(full version)
谷山浩子, 箱の中にいる
谷山浩子, 水晶散歩
谷山浩子, 雨
谷山浩子, 双子の鳥
谷山浩子, なおちゃん
谷山浩子, ROLLY＆谷山浩子のからくり人形楽団
谷山浩子, 箱の中にいる(MTRデモ)
谷山浩子, 春のさけび(初DAWデモ)
NEWS, JUNK
NEWS, Running
おはガール from Lucky2, Lucky Time
Kroi, pith
Kroi, Rafflesia
Kroi, WATAGUMO
Kroi, おなじだと
にしな, debbie
花譜, イマジナリーフレンド
映秀。, 脱せ
映秀。, 失敗は間違いじゃない
映秀。, 忘れ物
映秀。, 諦めた英雄
映秀。, 共鏡
Omoinotake, EVERBLUE
Omoinotake, 漂流教室
なんキニ！, 聖なる夜のシンデレラ
GYROAXIA, AMBIGUOUS
相谷レイナ, Translucent
相谷レイナ, Randomizer
相谷レイナ, Vanilla
相谷レイナ, Cells
相谷レイナ, ParadigmSavage
相谷レイナ, Worms
リアクション ザ ブッタ, Yadorigi
相谷レイナ, Daydream
リアクション ザ ブッタ, Seesaw
リアクション ザ ブッタ, Colorful
リアクション ザ ブッタ, 所心表明
リアクション ザ ブッタ, Overfilm
リアクション ザ ブッタ, untitled
リアクション ザ ブッタ, Coffee Cup
土岐隼一, 真心に奏(TV edit)
土岐隼一, all well and good
金泊, 久逢知己
檸一, 為夢奔跑
DisCover, 浮塵紀
祝一可, 龍舌蘭
IDOLATER, Laugh&Live!
IDOLATER, 消せない・・・
景子謙, 你故事裡的我
團契遊樂園, 祢是我嚮往
馬條, Intro
韓東, 愛在北緯53
詩生, 山河圖
アップアップガールズ(2), 手さぐりLovin'ぎゅー
馬條, 敕勒川
馬條, 邊邊
馬條, 塞外
張維佐, Voice Mail
三辦木, 披荊斬棘 (Covered With Thorns)
艾凌, 白色翅膀
裝咖人, 拜塗虱
裝咖人, 羅漢
樺澤まどか, 卑屈のうた
樺澤まどか, 夢
何龍雨, 真正的朋友
紅香蕉樂隊, 悲傷狂歡
吳蔚恩, 我十歲了
吳蔚恩, 我的家
吳蔚恩, 你家在哪裡？
吳蔚恩, 早安／早餐
吳蔚恩, 你從哪裡來？／我從泰安鄉來
吳蔚恩, 河川與山嶽/山與溪
吳蔚恩, 太陽出來了
吳蔚恩, 白雲／白色的雲
吳蔚恩, 下雨啦
吳蔚恩, 田園
光頭華夏, 翻山海赴未來
ERONE, Japandemic
夢靜美, 如果愛還在
吳琬怡, 傷心的玫瑰
TO1, Realize(Intro.)
TO1, No More X
TO1, GOLDEN
TO1, Prayer
TO1, In My Light
TO1, Mirage
TO1, No More X(English Ver.)
湯組, 探底
非心聞, 讓這風繼續吹
尹晨, 情緒避難體
江亞朋, 詩意北墘
nazca, Pinokio
nazca, Don't think (feat. YNG JOES)
張新成, 榮耀天成
華武藝, 失格
黃志文, 相遇
美炎 -BIEN-, 鼻水木
美炎 -BIEN-, 鼻吹雪
なにわ男子, 夢わたし
なにわ男子, What a funky time!!
なにわ男子, 初心LOVE
なにわ男子, Starting Bell
なにわ男子, NANIWA'n WAY
朱雅瓊, Hello，撒呦哪啦
李映霏, 海王星
李映霏, Child Of The Universe
李映霏, Hold
李映霏, 通靈 Psychic
李映霏, Home
趙珂, 心動
あべりょう, 不燃素材で織り上げた衣装
白皮書樂隊, ASHES
炎亞綸, Do U Think Of Me
炎亞綸, Vacation
JUVENILE, GIMME THAT (feat. 向井太一)
炎亞綸, Waiting In Line
炎亞綸, Who Do You Think You Are
炎亞綸, Celebrate
炎亞綸, I'll Be On Mars
炎亞綸, Get 2 U
MADBOII, TRIPPIN
許龍川, 半生
黃瑋昕, Unknown Notice(Intro)
YOASOBI, Comet
黃瑋昕, Goodbye :(
黃瑋昕, A Lie
YOASOBI, Haven't
YOASOBI, Encore
YOASOBI, Tracing A Dream
学芸大青春, Sugar
CYNHN, レア
神様、僕は気づいてしまった, 青春のふりをした
彈藥庫樂隊, 墜落
佐々木恵梨, ロッホと旅
SHARE LOCK HOMES, チェリオ！
魏紫祺, 農民工我的好兄弟
2AM, I Can′t
2AM, Should′ve Known
2AM, No Good In Good - Bye
亜咲花, See The Light
2AM, Propose
2AM, Always Me
姜銘楊, 一個人
廖凱杰, Bittersweet
阿洋Ayz, 臨界點
南壽あさ子, 呼吸のおまもり
謝婉霖, 拉斯維加斯的眼淚
津山微笑, 女の望郷
津山微笑, 人生みちゆき夢のれん
津山微笑, 播磨灘恋歌
足浮梨ナコ, FLYゐ!!
足浮梨ナコ, pe-su
夜のひと笑い, ワライカタ
大山まき, Dinosaur
Ariji Joe, Tokyo 20
49, Crossroad
シーズ, Fly and Fly
Ariji Joe, cinnamon feat.Edbl
49, Tema de 49
シーズ, OH MY GOD
Ariji Joe, Kaori
Ariji Joe, :D:D:D feat.Chloe
汚れなきティッシュ, 汚れなきR＆R
にゃんバラファイターズ, 夢見る世界
にゃんバラファイターズ, addiction.v.f～本気を見せなさい～
平成スライム, 肉肉肉肉肉～食の暴力～
なんちゃら診療所, 元気の診察
ぺぺ一番, ハッピーで行こうぜ！
ぺぺ一番, 空飛ぶトナカイ
なんちゃら診療所, 戦え!!内臓脂肪
みでぃ, ゴルゴダ アルゴリズム
超学生, Innocent Tyrant
イルカ, 聖家族
田中あいみ, 孤独の歌姫
EASTOKLAB, 秘密
田中あいみ, シニカル・レイン
田中あいみ, 涙のリバー
EASTOKLAB, Hurts
Runny Noize, 音の鳴る方へ
森山愛子, ひとり風の盆
森山愛子, みれん花
ハンバート ハンバート, ねぎらい
花咲ゆき美, フォーエバー・マイフレンズ～永遠の友よ～
三代沙也可, さやかの三度笠
秋岡秀治, 笹小舟
千葉げん太, 一匹狼
千葉げん太, 女の背中
東京スカパラダイスオーケストラ, Make Your Sweet Memories
三代沙也可, おけさ恋港
秋岡秀治, なぁ女将
Myuk, 星に願いを
K:ream, 光と影
K:ream, Dark Oak
Damian Hamada's Creatures, 謝肉祭
Damian Hamada's Creatures, 魔界美術館
BUZZ-ER., Feel Good
BUZZ-ER., ブザービーター
BUZZ-ER., サクラエビデンス
BUZZ-ER., Life is da show
BUZZ-ER., will
JYOCHO, みんなおなじ
亜咲花, BELIEVE MYSELF
亜咲花, RED ECLIPSE
超特急, 같이 가자
亜咲花, Bravery Song
超特急, Yodelic Fire
超特急, Добрый день
超特急, Chill out @JP
超特急, Holtasoley
超特急, Dance Dance Dancing！
超特急, Te quiero mucho
超特急, Cead Mile Failte
浦田直也, lose yourself
串田アキラ, ダイヤル回せ!ゼンリョクゼンカイオー
浦田直也, Da Da Da Dancing
髭, おうちへおかえり
Zwei, 歩-Fu-
髭, Tour
髭, 思い通りいかないもん
髭, yy
BACK-ON, Beyond sadness
BACK-ON, Down
BACK-ON, WAVES
BACK-ON, Stay Real
BACK-ON, Kill the Beat feat.JESSE
BACK-ON, Loser
BACK-ON, Still in my heart
BACK-ON, Bring the Noise
BACK-ON, NEVER FREEZE feat.MICRO
BACK-ON, SKY WALKER
SunSet Swish, SHACHIKU
影山ヒロノブ," HEROES, BE AMBITIOUS!"
内田彩, Canary Yellow
結城アイラ, A Promise
(sic)boy, BLACKOUT SEASON feat. phem
PK shampoo, 星
PK shampoo, 白紙委任状
PK shampoo, 天王寺減衰曲線
PK shampoo, 夜間通用口
PK shampoo, 市營葬儀
PK shampoo, 零点振動
PK shampoo, 奇跡
PK shampoo, 3D/Biela
PK shampoo, 京都線
PK shampoo, m7
PK shampoo, 君の秘密になりたい
PK shampoo, 二条駅
燐舞曲, [Re]termination
燐舞曲, Celsius
Who-ya Extended, WⅡ -prologue-
Who-ya Extended, Wander Wraith
Who-ya Extended, Discord Dystopia
Who-ya Extended, MESSY WORLD
Who-ya Extended, 透明な花
Who-ya Extended, Wasted Dawn
Who-ya Extended, WII -epilogue-
≠ME, まほろばアスタリスク
eill, 23
≠ME, 誰もいない森の奥で一本の木が倒れたら音はするか？
≠ME, ワタシアクセント
楠木ともり, narrow
楠木ともり, よりみち
EMPiRE, Chase your back
EMPiRE, IZA!!
EMPiRE, To continue
EMPiRE, FLY! SiNG! CRY! TRY! SMiLE!
EMPiRE, ERROR
EMPiRE, RiNG to the BRiGHT FUTURE
EMPiRE, HON-NO
鈴木みのり, サイハテ
EMPiRE, Hey!Hey!
マジカル・パンチライン, カルミア
MAPA, 聴く薬
MAPA, レディースクリニック
MAPA, 真夏の卒業式
MAPA, MAPA応援歌
MAPA, 蒼夜ミルキーロード
イケてるハーツ, SING・LA・BANG・SHOW!
ABBA, I Still Have Faith In You
ABBA, When You Danced With Me
ABBA, Little Things
ABBA, Just A Notion
ABBA, I Can Be That Woman
ABBA, Keep An Eye On Dan
ABBA, Bumblebee
ABBA, Don't Shut Me Down
ABBA, No Doubt About It
ABBA, Ode To Freedom
鄭俊日, 366days
張芸菁, 大不了
張芸菁, 過分的安靜
Zhuang Huihui, 等等吧 (Wait For It)
Oac, What U Doin
鮑越, 逆向行駛
MASH, 壊れたJukebox
半崎美子, 地球へ
劉夫陽, Night Shift
Crystal Kay, ひとりじゃないから
李宸希, 沒有的光
Buyer Client, dabscription
なかねかな, ビジネスパートナー
鈴木このみ, 命の灯火
鮑越, 我好想早點遇見你
HUR, Intro
HUR, Feels Like Rain
HUR, Outro
田中ヒメ, 花れ話れ
鈴木ヒナ, Resistance!
蘭花刀, 貳肆陸伍
nano.RIPE, 声鳴文
nano.RIPE, 花に雨
nano.RIPE, オーブ
nano.RIPE, リリリバイバー
